"method"	"final_n"	"changepoint"	"total_number_found"	"diff_real"	"method_f"	"n2_init"	"target_cpt"
"298"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"299"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"300"	"Iterative"	14	35	"5"	2	"Iterative"	7	"3"
"301"	"Regular"	16	35	"14"	2	"Regular"	5	"3"
"302"	"Random"	16	49	"8"	16	"Random"	5	"3"
"303"	"Iterative"	9	56	"6"	23	"Iterative"	5	"3"
"304"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"305"	"Iterative"	14	35	"5"	2	"Iterative"	7	"3"
"306"	"Regular"	17	33	"15"	0	"Regular"	5	"3"
"307"	"Random"	17	32	"10"	-1	"Random"	5	"3"
"308"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"309"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"310"	"Iterative"	14	35	"5"	2	"Iterative"	7	"3"
"311"	"Regular"	18	35	"11"	2	"Regular"	5	"3"
"312"	"Random"	18	38	"6"	5	"Random"	5	"3"
"313"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"314"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"315"	"Iterative"	14	35	"5"	2	"Iterative"	7	"3"
"316"	"Regular"	19	38	"17"	5	"Regular"	5	"3"
"317"	"Random"	19	39	"12"	6	"Random"	5	"3"
"318"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"319"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"320"	"Iterative"	14	35	"5"	2	"Iterative"	7	"3"
"321"	"Regular"	20	36	"11"	3	"Regular"	5	"3"
"322"	"Random"	20	34	"5"	1	"Random"	5	"3"
"323"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"324"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"325"	"Iterative"	14	35	"5"	2	"Iterative"	7	"3"
"326"	"Regular"	21	27	"10"	-6	"Regular"	5	"3"
"327"	"Random"	21	40	"5"	7	"Random"	5	"3"
